username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Jewish Space Laser Technician,2786750178,Spokane,2023-01-08 17:59:50,"@ColinCowherd What's the big deal with Payton? 

I don't get it. 

He got lucky winning a single Super Bowl. Most y… https://t.co/J22LA5XwFS",0,Twitter Web App,
Guac,23041095,"Spokane,  Wa",2023-01-08 17:41:17,@SlaterNFL Tuddy looks like he hangs out with Seattle Kraken's @SEAbuoy,0,Twitter Web App,
Jewish Space Laser Technician,2786750178,Spokane,2023-01-08 17:28:19,"@USMiniTru @NicholasFerroni That all depends on where you live. 

80K in Seattle isn't the same as 80K in Topeka.",0,Twitter Web App,
Micah J Montgomery,875487361383137280,"Spokane, WA",2023-01-08 16:30:45,@Onlyspo84368529 @NFL Rams suck dude they aren’t beating the Seahawks in Seattle,0,Twitter for iPhone,
Theo Lawson,291955806,"Spokane, WA",2023-01-08 06:52:33,"Paolo Banchero: 25 pts. in San Francisco.

Nolan Hickman: 20 pts. in Santa Clara.

Good outings in the Bay tonight… https://t.co/2YPOV1mXKa",0,Twitter for iPhone,
Tyler carney,716796193863372800,"Spokane, WA",2023-01-08 04:49:22,"@NJDevils @BennersAutoBody I’m so pumped, and I FINALLY get to see the devils play for the first time ever on the 1… https://t.co/Qyxz67SVyE",0,Twitter for iPhone,
Connor Vanderweyst,2251635937,"Spokane, WA",2023-01-08 03:39:34,@JJMaples55_MST Seattle pumping out generational talents while the university is bottom of the Pac-12. Feels good.,0,Twitter Web App,
Ryan Herzog,235670108,Spokane,2023-01-08 01:22:31,"@bcondotta Speaking of schedule, will Seattle have GB on the road or at home?",0,Twitter for iPhone,
Isaiah,1312916426697523206,Spokane,2023-01-08 00:49:44,"@macphisto96 @_PeteSmith_ If you say so.  Still, this is the Seattle I remember: https://t.co/vtBXNYZj3U",0,Twitter Web App,
Isaiah,1312916426697523206,Spokane,2023-01-08 00:37:25,@macphisto96 @_PeteSmith_ What? No I am saying Eastern Washington cities like Spokane have a higher growth rate tha… https://t.co/6PpgPTWjEa,0,Twitter Web App,
Isaiah,1312916426697523206,Spokane,2023-01-08 00:33:03,@_PeteSmith_ @macphisto96 False. Cincy growth rate has increased and Cleveland's has slightly grown as well.  Compa… https://t.co/ytnW45VeAy,0,Twitter Web App,
Isaiah,1312916426697523206,Spokane,2023-01-08 00:22:07,@macphisto96 @_PeteSmith_ Seattle is dying from KOMO https://t.co/7Il9l3iWOZ,0,Twitter Web App,
Isaiah,1312916426697523206,Spokane,2023-01-08 00:18:50,@macphisto96 @_PeteSmith_ I lived in Seattle.  People are leaving in droves.  It has turned into a drug infested ho… https://t.co/iSykl01ftr,0,Twitter Web App,
Isaiah,1312916426697523206,Spokane,2023-01-07 23:58:15,@_PeteSmith_ We all can't be left-wing paradises like Seattle and San Francisco.,0,Twitter Web App,
Lisa Brown,1093308835140235265,"Spokane, WA",2023-01-07 18:45:32,Read past the headline. Excellent work by Office of Homeless Youth supported by ⁦@WAStateCommerce⁩ ⁦@AWayHomeWA⁩ an… https://t.co/Pt268n90Ae,5,Twitter for iPhone,
Shannon Brown,825465207891693568,"Spokane, WA",2023-01-07 18:05:40,"@TheMikeSalk @hbomax Seattle Sports Station app all the way. Great content, horrible app that crashes all the time!",0,Twitter for iPhone,
House Atreides,150902821,"Spokane, Washington",2023-01-07 15:26:56,"@WhosThatGuy20 @RepJayapal That's easy.  Leftists.

Just look to the BLM riots that happened prior to Jan 6 for a t… https://t.co/R3So1NdtKQ",0,Twitter Web App,
"Byron L. McLean, Esq.",1577923661864251392,"Spokane, WA",2023-01-07 08:52:57,"@jngrimshaw @krystleaugusti1 @NoLieWithBTC 2020 … You know, all of the fires. Cretans shining lasers into the eyes… https://t.co/GCnO0e8378",0,Twitter for iPad,
KREM 2 NEWS,15756056,"Spokane, Washington",2023-01-07 01:30:09,"Christine Warren, 52, was arrested in 2021 after DNA obtained through an undercover operation matched DNA found at… https://t.co/0AruBxEBO3",2,SocialNewsDesk,
Melissa Luck ☘,17104123,"Spokane, WA",2023-01-06 23:57:00,"Related: We are hiring our next MMJ in Spokane. Including Esther, our reporters have gone from here directly to maj… https://t.co/3PTtTqPw4m",0,Twitter Web App,
Jon Davidson,1587578811075690496,"Spokane, WA",2023-01-06 23:23:37,"@raisingcanes That’s great!  The Seattle area (of course), Spokane/Coeur d’Alene, Tri-Cities, WA…there would be a l… https://t.co/0Q67HYoazh",0,Twitter for iPad,
Jewish Space Laser Technician,2786750178,Spokane,2023-01-06 23:08:16,@norockunrolled There was a lioness at the Seattle Zoo that killed a dude who broke into their enclosure when I was… https://t.co/FPFs9FEjMI,0,Twitter Web App,
Matt,164438263,"Spokane, WA",2023-01-06 23:03:38,@Juan65590159 @LO_Mariners Gotta take into account how hard Seattle fell out the gate last year and the failures of… https://t.co/tXpzNTxocg,0,Twitter for iPhone,
Matt,164438263,"Spokane, WA",2023-01-06 23:01:41,@Juan65590159 @LO_Mariners I think it is fair they also won 91 games 2021 year when they missed the playoffs and ar… https://t.co/uA0o01VRVM,0,Twitter for iPhone,
Rage Wafflez 👑,476388962,"Spokane, WA",2023-01-06 21:43:41,@golabkigworl Seattle rises 🥰,0,Twitter for Android,
Matthew Gross,45820880,"Spokane, WA",2023-01-06 19:18:21,Just landed in Seattle. Got my bag from baggage claim and saw that someone from @AlaskaAir broke my suitcase.. https://t.co/cV8SETj6Z3,0,Twitter for iPhone,
Matt,164438263,"Spokane, WA",2023-01-06 18:54:59,"@RyanDivish or anyone. What is your take on Mariners not letting Castillo play in WBC. Just saw mlb article Ohtani,… https://t.co/v8H7EYbtxK",0,Twitter for iPhone,
