username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Trevor Smith,3142701043,"Spokane, WA",2023-01-13 14:27:00,@M_D23P @Klondike_White @SadSonicsFan @FootballGirlAna We have barely even seen him play for Seattle so how can you… https://t.co/XCfp7voTdq,0,Twitter for Android,
KREM 2 NEWS,15756056,"Spokane, Washington",2023-01-13 04:30:09,"Smith passed away on Jan. 4 at his home in La Mesa, California. He had cancer and had been in hospice care, said hi… https://t.co/8VS3zsayKQ",0,SocialNewsDesk,
IEMBot OTX,34928684,"Spokane, WA",2023-01-13 02:51:37,"OTX issues Avalanche Warning (AVW) at Jan 12, 6:51 PM PST ...The Northwest Avalanche Center in Seattle has issued a… https://t.co/v3vKuEtIBl",0,iembot,
Zag Alumni,109368870,"Spokane, WA",2023-01-13 02:16:28,Zag alumni in Seattle hosted current @GonzagaU students at 13 different companies today! We cannot thank our alumni… https://t.co/62KSD1u1WX,1,Twitter Web App,
Colin Sanders,168393537,"Spokane, WA",2023-01-13 01:47:12,I just feel like this has been a big sports year for Seattle teams. Mariners make the playoffs; sounders win CONCAC… https://t.co/bTKlOEgBhx,0,Twitter for Android,
Chris Farnsworth,1392210099964284931,"Spokane, WA",2023-01-13 01:41:19,@NickLee51 Gonna lose in the first rd. Seattle is gonna win. Watching the over confidence in 9er fans. The way the… https://t.co/64Y9JffKzZ,0,Twitter for Android,
Micah J Montgomery,875487361383137280,"Spokane, WA",2023-01-13 00:49:58,@sh_wn182 @NFLonFOX Geno will get retained by Seattle they have a boatload of picks and cap. Probably for cheap may… https://t.co/JZ9OG6995N,0,Twitter for iPhone,
Reece,831174189511880706,"Spokane, WA",2023-01-12 20:46:16,@midwxst Seattle 😈,0,Twitter for Android,
Zag Alumni,109368870,"Spokane, WA",2023-01-12 20:10:27,We have a packed house in Seattle for the Trek Career Fair! Thank you to the many @GonzagaU alumni for meeting with… https://t.co/TMpjUwi1q2,0,Twitter Web App,
Theodore Ferro,1555042055117684737,"Spokane, WA",2023-01-12 18:18:36,@SeatacROA Is the Washington rivals scene only in the Seattle area? I would love to know if there is a scene in the Spokane area,0,Twitter for iPhone,
Micah J Montgomery,875487361383137280,"Spokane, WA",2023-01-12 17:25:25,@ProFootballTalk Plays into Seattle’s hands that’s their kind of weather,0,Twitter for iPhone,
Micah J Montgomery,875487361383137280,"Spokane, WA",2023-01-12 15:50:25,@D7_Reed Just think you could’ve made the playoffs with Seattle as a backup,0,Twitter for iPhone,
Erik Schubach,74248106,"Spokane, WA",2023-01-12 05:13:28,"@GovInslee How's this relevant, @GovInslee, when you continually forget Spokane (2nd largest city in WA) exists? We… https://t.co/J4zUBiyFku",1,Twitter Web App,
Shaun Messerli,1118346850694647808,Spokane Washington,2023-01-12 03:35:40,@RossTuckerNFL Of all those coaches which one had the franchise QB traded away and one of the franchises corner sto… https://t.co/4CFzexeCej,0,Twitter for iPhone,
Al Walker,769677288,Spokane Washington,2023-01-12 02:53:39,"@ChrisDaniels_TV @Spottnik Down at the Seattle Center, down by the Imax Theater. :)",0,Twitter Web App,
Jon Davidson,1587578811075690496,"Spokane, WA",2023-01-12 00:53:08,"Music lovers should enjoy this story…

https://t.co/LInUZZ2D4P",0,Twitter for iPad,
Micah J Montgomery,875487361383137280,"Spokane, WA",2023-01-11 22:56:10,@vegasaztec702 @LombardiHimself Supposed to rain like a half an inch all day so Seattle weather just a drizzle,0,Twitter for iPhone,
Rick O'Connor,51788054,"Spokane, WA",2023-01-11 22:14:57,"@OfficialEGO Sorry you couldn’t make it  to @BOBAKHAN this time but we’d love to have you, @MarkSterlingEsq… https://t.co/StkydkVpoh",0,Twitter for iPhone,
Matt,164438263,"Spokane, WA",2023-01-11 21:26:37,@BeezyManzell @Matt_Calkins @bcondotta Maybe just a play on words for Lockett trying to sell him on staying in Seattle?,0,Twitter Web App,
Andrew Tang,1597121077687484417,"Spokane, WA",2023-01-11 20:17:13,@PFF Seattle bro!,0,Twitter for iPhone,
KREM 2 NEWS,15756056,"Spokane, Washington",2023-01-11 19:00:12,"Even if the Supreme Court were to clear the way for lawsuits like Seattle's, the district has a daunting challenge… https://t.co/95j7EiXY5R",0,SocialNewsDesk,
Matt,164438263,"Spokane, WA",2023-01-11 18:36:18,@RyanDivish @seattletimes Best pitcher in franchise history ... bit of a stretch. Randy Johnson had 2 seasons of ov… https://t.co/V6NjZZ31LL,0,Twitter Web App,
Scott Mead,444801307,"Spokane, Washington",2023-01-11 16:54:50,@FakeDougClark @SpokaneCity NOPE!!!! Spokane born and raised. Just was saying it would of been done by now if the project was in Seattle.,0,Twitter Web App,
Micah J Montgomery,875487361383137280,"Spokane, WA",2023-01-11 16:15:40,@The_Rizz_king @NFLonFOX Again? The 49ers have never eliminated Seattle from anything. Lol,1,Twitter for iPhone,
Micah J Montgomery,875487361383137280,"Spokane, WA",2023-01-11 14:51:58,@doconnell2000 @PFF DK had a phenomenal year. Him and Lockett both had over a thousand yards. 49ers are the better… https://t.co/qzLtjBt8xK,0,Twitter for iPhone,
Chad O'Donnell,26075320,"Spokane, WA",2023-01-11 11:57:56,@SamAdamsTV Just taking off from New York for Seattle and no delays yet,0,Twitter for iPhone,
Scott Mead,444801307,"Spokane, Washington",2023-01-11 04:09:29,@SpokaneCity Not that anyone has ever expected it to get finished. If this was Seattle it would have been completed… https://t.co/VB0Zdeq9DL,0,Twitter Web App,
Shaun Messerli,1118346850694647808,Spokane Washington,2023-01-11 03:25:56,@Kitka11R @NFLonFOX They want to act like they didnt make it! They already have 49ers penciled in for the divisiona… https://t.co/1l4LdNTPlP,0,Twitter for iPhone,
TillNextTime,3035448068,Spokane ,2023-01-11 01:33:16,@GovInslee State of the Seattle. Fixed,0,Twitter for Android,
Tyler Withrow,762489539436826624,"Spokane, WA",2023-01-11 00:35:09,@JohnLynch49ers @JedYork The Faithful has 10 years of scars from Seattle…a complete ass whooping this Saturday is j… https://t.co/WrnQLytlqa,0,Twitter for iPhone,
Mike,1365030712865263618,"Spokane, WA/Doncaster U.K.",2023-01-10 23:00:31,@ndcjr Been there several times when I lived in Seattle. 😊,0,Twitter for iPhone,
Karly Ramsey,384974281,"Spokane, WA",2023-01-10 22:59:02,Anything fun going down the week of February 18th in Seattle???,1,Twitter for Android,
4 News Now,7940822,"Spokane, Washington",2023-01-10 22:30:01,"For the fourth time in the last five years, Pete Carroll and the Seattle Seahawks will be on their quest to win the… https://t.co/fajtiNs17s",0,SocialNewsDesk,
Shady Slim,21322231,"Spokane, WA",2023-01-10 21:39:39,They’ll win this suit for free speech 1st Amendment right. At least a District Court in WA state upheld a teacher’s… https://t.co/m9mKhgW9iZ,0,Twitter for iPad,
BeeTee,1498202203923697664,Washington State ,2023-01-10 21:05:57,@sgeez Thanks! It all happened downtown Seattle when I was a bike messenger.,0,Twitter for iPhone,
Micah J Montgomery,875487361383137280,"Spokane, WA",2023-01-10 18:36:20,@RioCeja24 @DangeRussWilson @Broncos Russ never won anything with Seattle. The LOB and Marshawn could’ve had Mary P… https://t.co/DqHjsLzaEh,0,Twitter for iPhone,
Micah J Montgomery,875487361383137280,"Spokane, WA",2023-01-10 17:08:37,"@RioCeja24 @DangeRussWilson @Broncos Seattle made the playoffs 
Nobody hurts up here",0,Twitter for iPhone,
Ellie Fox (she/her),1339832018075467777,"Spokane, WA",2023-01-10 17:06:24,Just posted a photo @ Seattle Waterfront Ferris Wheel https://t.co/OdAMXdr2Xw,0,Instagram,
Rick Lukens,398374141,"Spokane, WA.",2023-01-10 17:06:08,@HgrantGrant @Softykjr Wrong! Seattle bruised the monstrous ego of Commissioner David Stern. And now he’s dead.,0,Twitter for iPhone,
elliejoan,1293187063307620356,"Pacific Northwest, Washington ",2023-01-10 15:44:48,"@Klara__A It's a grunge thing😉

grew up in Seattle😎 https://t.co/uARBGuqEAZ",0,Twitter Web App,
Sam krueger,703692788978716672,"Spokane, WA",2023-01-10 14:42:10,@ChatPileBand @man_of_pee @LINGUA_IGNOTA_ Fingers crossed you’ll have a few left for the Seattle date!!,0,Twitter for iPhone,
Micah J Montgomery,875487361383137280,"Spokane, WA",2023-01-10 13:34:21,@ShaneGermany2 @AaronLevine_ Seattle’s O line is ranked like 14th. Certainly not the best but far from the worst,0,Twitter for iPhone,
elliejoan,1293187063307620356,"Pacific Northwest, Washington ",2023-01-10 10:11:57,@paulknight14 Saw him live in Seattle in the 80's. Really great show.,0,Twitter Web App,
Ryan Herzog,235670108,Spokane,2023-01-10 05:32:24,"@ceichas23 @DeionSanders @GenoSmith3 @Seahawks @NFL You’re probably right, too bad Detroit couldn’t beat Seattle at… https://t.co/yT887FXRqJ",1,Twitter for iPhone,
account haver,1439451236068040706,"Spokane, WA",2023-01-10 02:21:59,@balletdisco Eh those comments aren’t very convincing. Rumors supposedly heard at a *neighboring* hs in a big city… https://t.co/IccoLvWBQf,0,Twitter for iPhone,
Matt,3689802203,"Spokane, WA",2023-01-10 02:10:23,@paulapasche @bcondotta Is that because Seattle market watched the game + everyone who isn’t a Packers fan wants to… https://t.co/WlhBCX3mRy,0,Twitter for iPhone,
Rage Wafflez 👑,476388962,"Spokane, WA",2023-01-10 01:09:04,@NHL @SeattleKraken @Sportsnet Common Seattle Kraken W,0,Twitter for Android,
Matt,164438263,"Spokane, WA",2023-01-09 23:09:27,@ChaosBall1977 I like the Angels a lot they are my favorite AL West non Seattle team. Can't believe they gave Niven… https://t.co/pt5Lckmbn1,0,Twitter Web App,
Courtney Willis,60183149,"Spokane, WA",2023-01-09 22:46:51,"@Bwagz Always love 💙💚 Bwagz, would love to see you back in action with Seattle!!",0,Twitter for iPhone,
Tyler Withrow,762489539436826624,"Spokane, WA",2023-01-09 19:23:22,@hawkblogger Only a Seattle fan would ask such an arrogant question.,0,Twitter for iPhone,
Art Chowder Magazine,1427791991694266368,"Spokane, WA",2023-01-09 19:21:44,"EVERYDAY NORTHWEST kicks off 2023 by visiting the splendid Chihuly Garden &amp; Glass exhibition in Seattle, plus a uni… https://t.co/b3yy11Z0RN",0,Twitter Web App,
Terrance McKinney,1406054406529814529,"Spokane, WA",2023-01-09 17:57:38,@anthonyvclark20 @DailyLoud Hey brother come to Seattle Portland or SF and tell me how that legalization of drugs is goin,10,Twitter for iPhone,
